,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,BYU,2018-07-12,2019-06-09,332,Thursday,213360,GDB,29780,499999,89280,0.05956011912023824,2.99798522498321,0.17856035712071425,35-45,M,francoangela,hhurley@hotmail.com,Valerie Watson,F,47
1,AKX,2017-12-31,2019-08-14,591,Sunday,926774,USD,40467,499997,542320,0.08093448560691364,13.401537054884226,1.0846465078790473,25-40,F,francoangela,hhurley@hotmail.com,Valerie Watson,F,47
2,AKX,2019-09-15,2019-01-10,-248,Sunday,766797,GDB,85835,500002,643115,0.1716693133227467,7.492456457156171,1.2862248551005795,40-55,F,ubell,navarrobethany@hotmail.com,Sydney Davenport,F,34
3,AKX,2018-09-30,2020-07-02,641,Sunday,340687,GDB,6177,500000,82104,0.012354,13.29188926663429,0.164208,20-40,M,ubell,navarrobethany@hotmail.com,Sydney Davenport,F,34
4,AKX,2018-11-06,2019-05-23,198,Tuesday,16783,USD,42219,500000,5745,0.084438,0.13607617423434945,0.01149,30-35,F,eshields,hlee@gmail.com,Herbert Woodward,M,23
5,AKX,2018-10-21,2020-08-22,671,Sunday,689679,USD,81915,499997,291691,0.1638309829858979,3.5608984923396205,0.5833855003130018,30-35,F,eshields,hlee@gmail.com,Herbert Woodward,M,23
6,KTR,2018-10-06,2019-05-05,211,Saturday,625845,GDB,71653,500000,114182,0.143306,1.5935410938830195,0.228364,35-40,M,eshields,hlee@gmail.com,Herbert Woodward,M,23
7,BYU,2018-05-28,2019-09-02,462,Monday,350758,USD,75300,499999,32286,0.1506003012006024,0.4287649402390438,0.06457212914425829,40-55,F,eshields,hlee@gmail.com,Herbert Woodward,M,23
8,AKX,2019-03-25,2019-09-17,176,Monday,894262,USD,61607,500001,571735,0.12321375357249285,9.280357751554206,1.1434677130645738,20-35,M,eshields,hlee@gmail.com,Herbert Woodward,M,23
9,KTR,2018-04-04,2020-01-27,663,Wednesday,568667,USD,51952,500001,338356,0.10390379219241562,6.512858022790268,0.6767106465787068,40-60,M,eshields,hlee@gmail.com,Herbert Woodward,M,23
10,BYU,2019-01-26,2019-03-31,64,Saturday,755677,EUR,17545,500000,414245,0.03509,23.610430322029067,0.82849,20-35,M,eshields,hlee@gmail.com,Herbert Woodward,M,23
